Symbol,base_currency,quote_currency,quote_increment,base_increment,display_name,min_market_funds,margin_enabled,post_only,limit_only,cancel_only,status,status_message,trading_disabled,fx_stablecoin,max_slippage_percentage,auction_mode,high_bid_limit_percentage
FET-USDT,FET,USDT,0.0001,0.1,FET-USDT,1,False,False,False,False,online,,False,False,0.03000000,False,
FIDA-EUR,FIDA,EUR,0.0001,0.01,FIDA-EUR,1,False,False,False,False,delisted,,True,False,0.03000000,False,
FIDA-USD,FIDA,USD,0.0001,0.01,FIDA-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
FIDA-USDT,FIDA,USDT,0.0001,0.01,FIDA-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
FIL-BTC,FIL,BTC,0.00000001,0.001,FIL-BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False,
FIL-EUR,FIL,EUR,0.01,0.001,FIL-EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False,
FIL-GBP,FIL,GBP,0.01,0.001,FIL-GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False,
FIL-USD,FIL,USD,0.001,0.001,FIL-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
FIS-USD,FIS,USD,0.0001,0.1,FIS-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
FIS-USDT,FIS,USDT,0.0001,0.1,FIS-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
FLOCK-USD,FLOCK,USD,0.0001,0.1,FLOCK/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
FLOKI-USD,FLOKI,USD,0.0000001,1,FLOKI/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
FLOW-USD,FLOW,USD,0.001,0.001,FLOW-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
FLOW-USDT,FLOW,USDT,0.001,0.001,FLOW-USDT,1,False,False,False,False,online,,False,False,0.03000000,False,
FLR-USD,FLR,USD,0.00001,1,FLR-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
FORT-USD,FORT,USD,0.0001,0.01,FORT-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
FORT-USDT,FORT,USDT,0.0001,0.01,FORT-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
FORTH-BTC,FORTH,BTC,0.0000001,0.001,FORTH-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
FORTH-EUR,FORTH,EUR,0.01,0.001,FORTH-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
FORTH-GBP,FORTH,GBP,0.001,0.001,FORTH-GBP,0.72,False,False,False,False,delisted,,True,False,0.03000000,False,
FORTH-USD,FORTH,USD,0.0001,0.001,FORTH-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
FOX-USD,FOX,USD,0.0001,0.1,FOX-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
FOX-USDT,FOX,USDT,0.0001,0.1,FOX-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
FX-USD,FX,USD,0.0001,0.1,FX-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
G-USD,G,USD,0.00001,1,G/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
GAL-USD,GAL,USD,0.001,0.001,GAL-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
GAL-USDT,GAL,USDT,0.001,0.001,GAL-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
GALA-EUR,GALA,EUR,0.0001,1,GALA-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
GALA-USD,GALA,USD,0.00001,1,GALA-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
GALA-USDT,GALA,USDT,0.00001,1,GALA-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
GFI-USD,GFI,USD,0.0001,0.01,GFI-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
GHST-USD,GHST,USD,0.001,0.01,GHST-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
GIGA-USD,GIGA,USD,0.00001,0.1,GIGA/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
GLM-USD,GLM,USD,0.0001,0.1,GLM-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
GMT-USD,GMT,USD,0.0001,0.01,GMT-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
GMT-USDT,GMT,USDT,0.0001,0.01,GMT-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
GNO-USD,GNO,USD,0.01,0.0001,GNO-USD,1,False,False,True,False,online,,False,False,0.03000000,False,
GNO-USDT,GNO,USDT,0.01,0.0001,GNO-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
GNT-USDC,GNT,USDC,0.000001,1,GNT-USDC,1,False,False,False,False,delisted,,True,False,0.03000000,False,
GODS-USD,GODS,USD,0.00001,0.01,GODS-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
GRT-BTC,GRT,BTC,0.00000001,0.01,GRT-BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False,
GRT-EUR,GRT,EUR,0.0001,0.01,GRT-EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False,
GRT-GBP,GRT,GBP,0.0001,0.01,GRT-GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False,
GRT-USD,GRT,USD,0.0001,0.01,GRT-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
GST-USD,GST,USD,0.000001,0.01,GST-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
GTC-USD,GTC,USD,0.01,0.01,GTC-USD,1,False,False,False,False,online,,False,False,0.05000000,False,
GUSD-USD,GUSD,USD,0.001,0.01,GUSD-USD,1,False,False,False,False,delisted,,True,True,0.01000000,False,0.03000000
GYEN-USD,GYEN,USD,0.000001,1,GYEN-USD,1,False,False,False,False,delisted,,True,True,0.01000000,False,0.03000000
HBAR-USD,HBAR,USD,0.00001,0.1,HBAR-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
HBAR-USDT,HBAR,USDT,0.00001,0.1,HBAR-USDT,1,False,False,False,False,online,,False,False,0.03000000,False,
HFT-USD,HFT,USD,0.0001,0.01,HFT-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
HFT-USDT,HFT,USDT,0.0001,0.01,HFT-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
HIGH-USD,HIGH,USD,0.001,0.01,HIGH-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
HNT-USD,HNT,USD,0.001,0.01,HNT-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
HOME-USD,HOME,USD,0.00001,1,HOME/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
HONEY-USD,HONEY,USD,0.0001,0.1,HONEY-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
HOPR-USD,HOPR,USD,0.0001,0.1,HOPR-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
HOPR-USDT,HOPR,USDT,0.0001,0.1,HOPR-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
ICP-BTC,ICP,BTC,0.0000001,0.0001,ICP-BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False,
ICP-EUR,ICP,EUR,0.001,0.0001,ICP-EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False,
ICP-GBP,ICP,GBP,0.001,0.0001,ICP-GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False,
ICP-USD,ICP,USD,0.001,0.0001,ICP-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ICP-USDT,ICP,USDT,0.001,0.0001,ICP-USDT,1,False,False,False,False,online,,False,False,0.03000000,False,
IDEX-USD,IDEX,USD,0.0001,0.1,IDEX-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
IDEX-USDT,IDEX,USDT,0.0001,0.1,IDEX-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
ILV-USD,ILV,USD,0.01,0.0001,ILV-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
IMX-USD,IMX,USD,0.0001,0.01,IMX-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
IMX-USDT,IMX,USDT,0.0001,0.01,IMX-USDT,1,False,False,False,False,online,,False,False,0.03000000,False,
INDEX-USD,INDEX,USD,0.01,0.001,INDEX-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
INDEX-USDT,INDEX,USDT,0.01,0.001,INDEX-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
INJ-USD,INJ,USD,0.001,0.01,INJ-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
INV-USD,INV,USD,0.01,0.0001,INV-USD,1,False,False,True,False,online,,False,False,0.05000000,False,
IO-USD,IO,USD,0.001,0.01,IO/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
IOTX-EUR,IOTX,EUR,0.00001,1,IOTX-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
IOTX-USD,IOTX,USD,0.00001,1,IOTX-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
IP-USD,IP,USD,0.001,0.01,IP/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
JASMY-USD,JASMY,USD,0.00001,1,JASMY-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
