Symbol,base_currency,quote_currency,quote_increment,base_increment,display_name,min_market_funds,margin_enabled,post_only,limit_only,cancel_only,status,status_message,trading_disabled,fx_stablecoin,max_slippage_percentage,auction_mode,high_bid_limit_percentage
MOODENG-USD,MOODENG,USD,0.0001,0.01,MOODENG/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
MORPHO-USD,MORPHO,USD,0.0001,0.01,MORPHO/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
MOVE-USD,MOVE,USD,0.0001,0.1,MOVE/USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
MPL-USD,MPL,USD,0.01,0.001,MPL-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
MPLX-USD,MPLX,USD,0.0001,0.1,MPLX/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
MSOL-USD,MSOL,USD,0.01,0.001,MSOL-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
MTL-USD,MTL,USD,0.001,0.01,MTL-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
MULTI-USD,MULTI,USD,0.001,0.001,MULTI-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
MUSD-USD,MUSD,USD,0.0001,0.01,MUSD-USD,1,False,False,False,False,delisted,,True,True,0.01000000,False,
MUSE-USD,MUSE,USD,0.001,0.001,MUSE-USD,1,False,False,False,False,online,,False,False,0.05000000,False,
MXC-USD,MXC,USD,0.00001,0.1,MXC-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
NCT-EUR,NCT,EUR,0.00001,1,NCT-EUR,1,False,False,False,False,delisted,,True,False,0.03000000,False,
NCT-USD,NCT,USD,0.00001,1,NCT-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
NCT-USDT,NCT,USDT,0.00001,1,NCT-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
NEAR-USD,NEAR,USD,0.001,0.001,NEAR-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
NEAR-USDT,NEAR,USDT,0.001,0.001,NEAR-USDT,1,False,False,False,False,online,,False,False,0.03000000,False,
NEON-USD,NEON,USD,0.00001,0.01,NEON/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
NEST-USD,NEST,USD,0.00001,1,NEST-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
NEST-USDT,NEST,USDT,0.00001,1,NEST-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
NEWT-USD,NEWT,USD,0.0001,0.01,NEWT/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
NKN-BTC,NKN,BTC,0.00000001,0.1,NKN-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
NKN-EUR,NKN,EUR,0.0001,0.1,NKN-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
NKN-GBP,NKN,GBP,0.0001,0.1,NKN-GBP,0.72,False,False,False,False,delisted,,True,False,0.03000000,False,
NKN-USD,NKN,USD,0.0001,0.1,NKN-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
NMR-BTC,NMR,BTC,0.0000001,0.001,NMR-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
NMR-EUR,NMR,EUR,0.01,0.001,NMR-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
NMR-GBP,NMR,GBP,0.01,0.001,NMR-GBP,0.72,False,False,False,False,delisted,,True,False,0.03000000,False,
NMR-USD,NMR,USD,0.01,0.001,NMR-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
NOICE-USD,NOICE,USD,0.0000001,1,NOICE/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
NU-BTC,NU,BTC,0.00000001,1,NU-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
NU-EUR,NU,EUR,0.0001,0.000001,NU-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
NU-GBP,NU,GBP,0.0001,0.000001,NU-GBP,0.72,False,False,False,False,delisted,,True,False,0.03000000,False,
NU-USD,NU,USD,0.0001,0.000001,NU-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
OCEAN-USD,OCEAN,USD,0.0001,0.1,OCEAN-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
OGN-BTC,OGN,BTC,0.00000001,0.01,OGN-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
OGN-USD,OGN,USD,0.00001,0.01,OGN-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
OMG-BTC,OMG,BTC,0.00000001,0.1,OMG-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
OMG-EUR,OMG,EUR,0.0001,0.1,OMG-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
OMG-GBP,OMG,GBP,0.0001,0.1,OMG-GBP,0.72,False,False,False,False,delisted,,True,False,0.03000000,False,
OMG-USD,OMG,USD,0.0001,0.1,OMG-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
OMNI-USD,OMNI,USD,0.001,0.01,OMNI/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ONDO-USD,ONDO,USD,0.00001,0.01,ONDO-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
OOKI-USD,OOKI,USD,0.000001,1,OOKI-USD,1,False,False,False,False,delisted,,True,False,0.05000000,False,
OP-USD,OP,USD,0.001,0.01,OP-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
OP-USDT,OP,USDT,0.001,0.01,OP-USDT,1,False,False,False,False,online,,False,False,0.03000000,False,
ORCA-USD,ORCA,USD,0.0001,0.01,ORCA-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ORN-BTC,ORN,BTC,0.0000001,0.01,ORN-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
ORN-USD,ORN,USD,0.001,0.01,ORN-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
ORN-USDT,ORN,USDT,0.001,0.01,ORN-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
OSMO-USD,OSMO,USD,0.0001,0.01,OSMO-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
OXT-USD,OXT,USD,0.0001,1,OXT-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
PAX-USD,PAX,USD,0.0001,0.01,PAX-USD,1,False,False,True,False,online,,False,True,0.01000000,False,0.03000000
PAX-USDT,PAX,USDT,0.0001,0.01,PAX-USDT,1,False,False,False,False,delisted,,True,True,0.01000000,False,0.03000000
PAXG-USD,PAXG,USD,0.01,0.00001,PAXG-USD,1,False,False,True,False,online,,False,False,0.03000000,False,
PENDLE-USD,PENDLE,USD,0.001,0.01,PENDLE/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
PENGU-USD,PENGU,USD,0.000001,1,PENGU/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
PEPE-USD,PEPE,USD,0.00000001,1,PEPE/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
PERP-EUR,PERP,EUR,0.0001,0.001,PERP-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
PERP-USD,PERP,USD,0.0001,0.001,PERP-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
PERP-USDT,PERP,USDT,0.0001,0.001,PERP-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
PIRATE-USD,PIRATE,USD,0.0001,0.1,PIRATE/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
PLA-USD,PLA,USD,0.0001,0.1,PLA-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
PLU-USD,PLU,USD,0.01,0.01,PLU-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
PNG-USD,PNG,USD,0.00001,1,PNG-USD,1,False,False,False,False,online,,False,False,0.05000000,False,
PNUT-USD,PNUT,USD,0.0001,0.01,PNUT/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
POL-USD,POL,USD,0.0001,0.01,POL/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
POLS-USD,POLS,USD,0.0001,0.01,POLS-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
POLS-USDT,POLS,USDT,0.0001,0.01,POLS-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
POLY-USD,POLY,USD,0.0001,1,POLY-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
POLY-USDT,POLY,USDT,0.0001,1,POLY-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
POND-USD,POND,USD,0.00001,1,POND-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
POND-USDT,POND,USDT,0.00001,1,POND-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
POPCAT-USD,POPCAT,USD,0.0001,0.01,POPCAT/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
POWR-EUR,POWR,EUR,0.0001,0.1,POWR-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
POWR-USD,POWR,USD,0.0001,0.1,POWR-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
POWR-USDT,POWR,USDT,0.0001,0.1,POWR-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
PRCL-USD,PRCL,USD,0.0001,0.1,PRCL/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
PRIME-USD,PRIME,USD,0.001,0.01,PRIME-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
PRO-USD,PRO,USD,0.0001,0.01,PRO-USD,1,False,False,False,False,online,,False,False,0.05000000,False,
PROMPT-USD,PROMPT,USD,0.00001,0.1,PROMPT/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
PROVE-USD,PROVE,USD,0.0001,0.01,PROVE/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
PRQ-USD,PRQ,USD,0.0001,0.1,PRQ-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
PRQ-USDT,PRQ,USDT,0.0001,0.1,PRQ-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
PUMP-USD,PUMP,USD,0.000001,1,PUMP/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
PUNDIX-USD,PUNDIX,USD,0.0001,0.01,PUNDIX-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
PYR-USD,PYR,USD,0.001,0.01,PYR-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
PYTH-USD,PYTH,USD,0.0001,0.1,PYTH/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
PYUSD-USD,PYUSD,USD,0.00001,0.01,PYUSD-USD,1,False,False,False,False,delisted,,True,True,0.01000000,False,0.03000000
QI-USD,QI,USD,0.000001,1,QI-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
QNT-USD,QNT,USD,0.01,0.001,QNT-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
QNT-USDT,QNT,USDT,0.01,0.0001,QNT-USDT,1,False,False,False,False,online,,False,False,0.03000000,False,
QSP-USD,QSP,USD,0.00001,1,QSP-USD,1,False,False,False,False,delisted,,True,False,0.05000000,False,
QSP-USDT,QSP,USDT,0.00001,1,QSP-USDT,1,False,False,False,False,delisted,,True,False,0.05000000,False,
QUICK-USD,QUICK,USD,0.01,0.0001,QUICK-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
RAD-BTC,RAD,BTC,0.0000001,0.01,RAD-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
RAD-EUR,RAD,EUR,0.001,0.01,RAD-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
RAD-GBP,RAD,GBP,0.001,0.01,RAD-GBP,0.72,False,False,False,False,delisted,,True,False,0.03000000,False,
RAD-USD,RAD,USD,0.01,0.01,RAD-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
RAD-USDT,RAD,USDT,0.01,0.01,RAD-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
RAI-USD,RAI,USD,0.01,0.01,RAI-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
RARE-USD,RARE,USD,0.0001,0.1,RARE-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
RARI-USD,RARI,USD,0.0001,0.001,RARI-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
RBN-USD,RBN,USD,0.00001,0.01,RBN-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
RECALL-USD,RECALL,USD,0.0001,0.01,RECALL/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
RED-USD,RED,USD,0.0001,0.01,RED/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
REN-BTC,REN,BTC,0.00000001,1,REN-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
REN-USD,REN,USD,0.0001,0.000001,REN-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
RENDER-USD,RENDER,USD,0.001,0.01,RENDER/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
REP-BTC,REP,BTC,0.0000001,0.000001,REP-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
REP-USD,REP,USD,0.01,0.000001,REP-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
REQ-BTC,REQ,BTC,0.00000001,1,REQ-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
REQ-EUR,REQ,EUR,0.00001,1,REQ-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
REQ-GBP,REQ,GBP,0.0001,1,REQ-GBP,0.72,False,False,False,False,delisted,,True,False,0.03000000,False,
REQ-USD,REQ,USD,0.0001,1,REQ-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
REQ-USDT,REQ,USDT,0.0001,1,REQ-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
REZ-USD,REZ,USD,0.00001,1,REZ/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
RGT-USD,RGT,USD,0.01,0.001,RGT-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
RLC-BTC,RLC,BTC,0.0000001,0.01,RLC-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
RLC-USD,RLC,USD,0.0001,0.01,RLC-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
RLY-EUR,RLY,EUR,0.0001,1,RLY-EUR,0.84,False,False,False,False,delisted,,True,False,0.05000000,False,
RLY-GBP,RLY,GBP,0.0001,1,RLY-GBP,0.72,False,False,False,False,delisted,,True,False,0.05000000,False,
RLY-USD,RLY,USD,0.0001,1,RLY-USD,1,False,False,False,False,delisted,,True,False,0.05000000,False,
RLY-USDT,RLY,USDT,0.0001,1,RLY-USDT,1,False,False,False,False,delisted,,True,False,0.05000000,False,
RNDR-EUR,RNDR,EUR,0.0001,0.01,RNDR-EUR,1,False,False,False,False,delisted,,True,False,0.03000000,False,
RNDR-USD,RNDR,USD,0.0001,0.01,RNDR-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
RNDR-USDT,RNDR,USDT,0.0001,0.01,RNDR-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
RONIN-USD,RONIN,USD,0.001,0.01,RONIN/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ROSE-USD,ROSE,USD,0.00001,0.1,ROSE-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
ROSE-USDT,ROSE,USDT,0.0001,0.1,ROSE-USDT,1,False,False,False,False,online,,False,False,0.03000000,False,
RPL-USD,RPL,USD,0.01,0.001,RPL-USD,1,False,False,False,False,online,,False,False,0.05000000,False,
RSC-USD,RSC,USD,0.0001,0.01,RSC-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
RSR-USD,RSR,USD,0.000001,1,RSR/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
S-USD,S,USD,0.00001,0.1,S/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SAFE-USD,SAFE,USD,0.0001,0.01,SAFE/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SAND-USD,SAND,USD,0.0001,0.01,SAND-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SAND-USDT,SAND,USDT,0.0001,0.01,SAND-USDT,1,False,False,False,False,online,,False,False,0.03000000,False,
SAPIEN-USD,SAPIEN,USD,0.00001,0.1,SAPIEN/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SD-USD,SD,USD,0.0001,0.01,SD/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SEAM-USD,SEAM,USD,0.0001,0.1,SEAM-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SEI-USD,SEI,USD,0.00001,0.1,SEI-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SHDW-USD,SHDW,USD,0.001,0.01,SHDW/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SHIB-EUR,SHIB,EUR,0.00000001,1,SHIB-EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False,
SHIB-GBP,SHIB,GBP,0.00000001,1,SHIB-GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False,
SHIB-USD,SHIB,USD,0.00000001,1,SHIB-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SHIB-USDT,SHIB,USDT,0.0000001,1,SHIB-USDT,1,False,False,False,False,online,,False,False,0.03000000,False,
SHPING-EUR,SHPING,EUR,0.000001,1,SHPING-EUR,1,False,False,False,False,delisted,,True,False,0.03000000,False,
SHPING-USD,SHPING,USD,0.000001,1,SHPING-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SHPING-USDT,SHPING,USDT,0.000001,1,SHPING-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
SKL-BTC,SKL,BTC,0.00000001,0.1,SKL-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
SKL-EUR,SKL,EUR,0.0001,0.1,SKL-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
SKL-GBP,SKL,GBP,0.0001,0.1,SKL-GBP,0.72,False,False,False,False,delisted,,True,False,0.03000000,False,
SKL-USD,SKL,USD,0.0001,0.1,SKL-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SKY-USD,SKY,USD,0.00001,0.1,SKY/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SNT-USD,SNT,USD,0.00001,0.1,SNT-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
SNX-BTC,SNX,BTC,0.0000001,0.01,SNX-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
SNX-EUR,SNX,EUR,0.001,0.001,SNX-EUR,0.84,False,False,True,False,online,,False,False,0.03000000,False,
SNX-GBP,SNX,GBP,0.001,0.001,SNX-GBP,0.72,False,False,True,False,online,,False,False,0.03000000,False,
SNX-USD,SNX,USD,0.001,0.001,SNX-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SOL-BTC,SOL,BTC,0.0000001,0.001,SOL-BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False,
SOL-ETH,SOL,ETH,0.00001,0.0001,SOL-ETH,0.00022,False,False,False,False,online,,False,False,0.03000000,False,
SOL-EUR,SOL,EUR,0.01,0.001,SOL-EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False,
SOL-GBP,SOL,GBP,0.01,0.001,SOL-GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False,
SOL-USD,SOL,USD,0.01,0.00000001,SOL-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SOL-USDT,SOL,USDT,0.01,0.001,SOL-USDT,1,False,False,False,False,online,,False,False,0.03000000,False,
SPA-USD,SPA,USD,0.000001,1,SPA-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SPELL-USD,SPELL,USD,0.0000001,1,SPELL-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SPELL-USDT,SPELL,USDT,0.0000001,1,SPELL-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
SPK-USD,SPK,USD,0.00001,0.1,SPK/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SPX-USD,SPX,USD,0.0001,0.01,SPX/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SQD-USD,SQD,USD,0.0001,0.1,SQD/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
STG-USD,STG,USD,0.0001,0.1,STG-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
STG-USDT,STG,USDT,0.0001,0.1,STG-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
STORJ-BTC,STORJ,BTC,0.00000001,0.01,STORJ-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
STORJ-USD,STORJ,USD,0.0001,0.01,STORJ-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
STRK-USD,STRK,USD,0.001,0.01,STRK/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
STX-USD,STX,USD,0.0001,0.01,STX-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
STX-USDT,STX,USDT,0.0001,0.01,STX-USDT,1,False,False,False,False,online,,False,False,0.03000000,False,
SUI-USD,SUI,USD,0.0001,0.1,SUI-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SUKU-EUR,SUKU,EUR,0.0001,0.1,SUKU-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
SUKU-USD,SUKU,USD,0.0001,0.1,SUKU-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SUKU-USDT,SUKU,USDT,0.0001,0.1,SUKU-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
SUPER-USD,SUPER,USD,0.00001,0.01,SUPER-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SUPER-USDT,SUPER,USDT,0.00001,0.01,SUPER-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
SUSHI-BTC,SUSHI,BTC,0.00000001,0.01,SUSHI-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
SUSHI-ETH,SUSHI,ETH,0.0000001,0.01,SUSHI-ETH,0.00022,False,False,False,False,delisted,,True,False,0.03000000,False,
SUSHI-EUR,SUSHI,EUR,0.0001,0.01,SUSHI-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
SUSHI-GBP,SUSHI,GBP,0.0001,0.01,SUSHI-GBP,0.72,False,False,False,False,delisted,,True,False,0.03000000,False,
SUSHI-USD,SUSHI,USD,0.0001,0.01,SUSHI-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SWELL-USD,SWELL,USD,0.00001,1,SWELL/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SWFTC-USD,SWFTC,USD,0.000001,1,SWFTC-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SXT-USD,SXT,USD,0.0001,0.1,SXT/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SYLO-USD,SYLO,USD,0.000001,1,SYLO-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
SYLO-USDT,SYLO,USDT,0.000001,1,SYLO-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
SYN-USD,SYN,USD,0.001,0.01,SYN-USD,1,False,False,False,False,delisted,,True,False,0.05000000,False,
SYND-USD,SYND,USD,0.0001,0.01,SYND/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
SYRUP-USD,SYRUP,USD,0.0001,0.1,SYRUP/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
T-USD,T,USD,0.00001,1,T-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
TAO-USD,TAO,USD,0.01,0.0001,TAO/USD,1,False,False,True,False,online,,False,False,0.03000000,False,
TIA-USD,TIA,USD,0.001,0.01,TIA-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
TIME-USD,TIME,USD,0.01,0.001,TIME-USD,1,False,False,True,False,online,,False,False,0.05000000,False,
TIME-USDT,TIME,USDT,0.01,0.001,TIME-USDT,1,False,False,False,False,delisted,,True,False,0.05000000,False,
TNSR-USD,TNSR,USD,0.001,0.01,TNSR/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
TONE-USD,TONE,USD,0.00001,1,TONE-USD,1,False,False,False,False,delisted,,True,False,0.05000000,False,
TOSHI-USD,TOSHI,USD,0.0000001,1,TOSHI/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
TOWNS-USD,TOWNS,USD,0.00001,0.1,TOWNS/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
TRAC-EUR,TRAC,EUR,0.0001,0.1,TRAC-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
TRAC-USD,TRAC,USD,0.0001,0.1,TRAC-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
TRAC-USDT,TRAC,USDT,0.0001,0.1,TRAC-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
TRB-BTC,TRB,BTC,0.0000001,0.001,TRB-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
TRB-USD,TRB,USD,0.01,0.001,TRB-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
TREE-USD,TREE,USD,0.0001,0.01,TREE/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
TRIBE-USD,TRIBE,USD,0.0001,0.1,TRIBE-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
TROLL-USD,TROLL,USD,0.00001,0.1,TROLL/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
TRU-BTC,TRU,BTC,0.00000001,0.1,TRU-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
TRU-EUR,TRU,EUR,0.0001,0.1,TRU-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
TRU-USD,TRU,USD,0.0001,0.1,TRU-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
TRU-USDT,TRU,USDT,0.0001,0.1,TRU-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
TRUMP-USD,TRUMP,USD,0.01,0.001,TRUMP/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
TURBO-USD,TURBO,USD,0.000001,1,TURBO/USD,1,False,False,False,False,online,,False,False,0.03000000,False,
TVK-USD,TVK,USD,0.00001,1,TVK-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
UMA-BTC,UMA,BTC,0.00000001,0.001,UMA-BTC,0.000016,False,False,False,False,delisted,,True,False,0.03000000,False,
UMA-EUR,UMA,EUR,0.001,0.001,UMA-EUR,0.84,False,False,False,False,delisted,,True,False,0.03000000,False,
UMA-GBP,UMA,GBP,0.01,0.001,UMA-GBP,0.72,False,False,False,False,delisted,,True,False,0.03000000,False,
UMA-USD,UMA,USD,0.001,0.001,UMA-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
UNFI-USD,UNFI,USD,0.01,0.01,UNFI-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
UNI-BTC,UNI,BTC,0.0000001,0.000001,UNI-BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False,
UNI-EUR,UNI,EUR,0.01,0.001,UNI-EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False,
UNI-GBP,UNI,GBP,0.01,0.001,UNI-GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False,
UNI-USD,UNI,USD,0.001,0.000001,UNI-USD,1,False,False,False,False,online,,False,False,0.03000000,False,
UPI-USD,UPI,USD,0.00001,1,UPI-USD,1,False,False,False,False,delisted,,True,False,0.03000000,False,
UPI-USDT,UPI,USDT,0.00001,1,UPI-USDT,1,False,False,False,False,delisted,,True,False,0.03000000,False,
USD1-USD,USD1,USD,0.0001,0.01,USD1/USD,1,False,False,True,False,online,,False,True,0.01000000,False,0.03000000
USDC-EUR,USDC,EUR,0.0001,0.01,USDC-EUR,0.84,False,False,True,False,online,,False,True,0.01000000,False,0.03000000
