unix,low,high,open,close,volume,date,vol_fiat
1732147200,94127.2,99073.53,94384.15,98439.09,31188.09394751,2024-11-20 19:00:00-05:00,3070127587.027392
1732233600,97209.52,99860.0,98439.1,99024.03,29936.62215019,2024-11-21 19:00:00-05:00,2964444969.899079
1732320000,97215.01,99044.11,99024.03,97778.77,12072.47203722,2024-11-22 19:00:00-05:00,1180431466.658766
1732406400,95780.77,98700.0,97778.78,98028.18,8654.77135767,2024-11-23 19:00:00-05:00,848411484.5085192
1732492800,92534.93,98999.0,98032.06,93000.01,20695.912495,2024-11-24 19:00:00-05:00,1924720068.994125
1732579200,90682.58,95004.92,93001.48,91929.54,17848.01962899,2024-11-25 19:00:00-05:00,1640760234.4040213
1732665600,91747.46,97386.06,91929.53,95951.19,15213.90946356,2024-11-26 19:00:00-05:00,1459792717.5808437
1732752000,94671.59,96676.31,95951.19,95665.53,5586.55288339,2024-11-27 19:00:00-05:00,534440542.4625325
1732838400,95383.46,98750.0,95665.53,97490.56,12587.02498942,2024-11-28 19:00:00-05:00,1227116114.95255
1732924800,96129.73,97509.6,97489.8,96465.42,3476.04255853,2024-11-29 19:00:00-05:00,335317905.346471
1733011200,95753.42,97895.9,96464.95,97263.18,4039.27591451,2024-11-30 19:00:00-05:00,392872820.3426507
1733097600,94400.63,98200.0,97259.17,95862.89,15554.61486745,2024-12-01 19:00:00-05:00,1491110334.0307238
1733184000,93571.3,96310.1,95862.89,95924.52,17898.7046212,2024-12-02 19:00:00-05:00,1716924649.4103918
1733270400,94634.85,99263.2,95924.85,98746.24,17528.92050771,2024-12-03 19:00:00-05:00,1730914991.3952537
1733356800,92055.86,104000.0,98746.24,97044.23,36399.8182427,2024-12-04 19:00:00-05:00,3532392333.5027742
1733443200,96424.2,102104.12,97049.47,99891.35,17801.21293952,2024-12-05 19:00:00-05:00,1778187192.1661212
1733529600,99012.73,100583.27,99885.37,99929.32,4774.3508777,2024-12-06 19:00:00-05:00,477097636.64996415
1733616000,98729.66,101435.05,99919.2,101174.99,4230.35225168,2024-12-07 19:00:00-05:00,428005846.7602015
1733702400,94220.8,101290.73,101175.0,97324.81,20103.05073464,2024-12-08 19:00:00-05:00,1956525593.1691985
1733788800,94273.38,98338.17,97330.66,96660.76,20620.53877488,2024-12-09 19:00:00-05:00,1993196949.5893695
1733875200,95722.79,101984.98,96660.75,101202.11,21190.23753294,2024-12-10 19:00:00-05:00,2144496749.7347224
1733961600,99298.39,102595.0,101211.61,100030.47,14796.92456547,2024-12-11 19:00:00-05:00,1480143318.83851
1734048000,99220.81,101959.13,100024.75,101428.75,13327.59954074,2024-12-12 19:00:00-05:00,1351801761.9178324
1734134400,100600.0,102650.0,101428.74,101399.99,4181.40180281,2024-12-13 19:00:00-05:00,423994100.990916
1734220800,101221.34,105100.0,101400.0,104447.76,7796.33358128,2024-12-14 19:00:00-05:00,814309578.7774738
1734307200,103289.21,107857.79,104445.15,106099.81,22575.87902891,2024-12-15 19:00:00-05:00,2395296475.5503354
1734393600,105337.97,108388.88,106099.98,106136.99,11994.58863972,2024-12-16 19:00:00-05:00,1273069534.5080752
1734480000,99939.82,106528.13,106145.83,100150.73,22294.42835455,2024-12-17 19:00:00-05:00,2232803274.640881
1734566400,95539.67,102796.22,100148.6,97372.21,23522.12863874,2024-12-18 19:00:00-05:00,2290401649.4584055
1734652800,92115.66,98132.47,97372.2,97765.0,21766.62386138,2024-12-19 19:00:00-05:00,2128013981.8078158
1734739200,96368.0,99596.57,97762.75,97230.08,6451.43271418,2024-12-20 19:00:00-05:00,627273318.9143386
1734825600,94182.98,97387.98,97230.09,95087.75,4933.50127735,2024-12-21 19:00:00-05:00,469115536.08533746
1734912000,92360.91,96430.08,95091.15,94764.56,13476.98947566,2024-12-22 19:00:00-05:00,1277140977.7855506
1734998400,93426.25,99444.0,94767.88,98594.47,13355.36314305,2024-12-23 19:00:00-05:00,1316764950.7465491
1735084800,97557.48,99484.92,98594.47,99346.28,5254.2370598,2024-12-24 19:00:00-05:00,521988906.1292675
1735171200,95083.93,99887.0,99358.67,95669.49,11403.37268934,2024-12-25 19:00:00-05:00,1090954849.4690862
1735257600,93234.31,97340.47,95669.4,94171.89,13169.12897588,2024-12-26 19:00:00-05:00,1240161765.312384
1735344000,94002.72,95534.17,94171.7,95130.82,2722.6591363,2024-12-27 19:00:00-05:00,259008796.21671078
1735430400,92841.48,95170.06,95125.59,93563.35,3417.52751094,2024-12-28 19:00:00-05:00,319755322.6407081
1735516800,91271.19,94910.48,93563.35,92620.71,15271.24432744,2024-12-29 19:00:00-05:00,1414433492.1909654
1735603200,91887.13,96148.94,92620.7,93354.22,10348.6325655,2024-12-30 19:00:00-05:00,966088521.2188514
1735689600,92743.63,94960.91,93347.59,94383.59,6871.73848196,2024-12-31 19:00:00-05:00,648579347.4685351
1735776000,94177.0,97776.99,94383.59,96903.19,10912.47383962,2025-01-01 19:00:00-05:00,1057453525.8507264
1735862400,96016.63,98969.92,96905.48,98136.51,9021.88538159,2025-01-02 19:00:00-05:00,885376344.9692608
1735948800,97516.65,98761.02,98139.85,98209.85,2742.08960614,2025-01-03 19:00:00-05:00,269300208.9055685
1736035200,97250.0,98814.0,98209.85,98345.33,2377.92175899,2025-01-04 19:00:00-05:00,233857500.102052
1736121600,97900.0,102500.0,98347.65,102279.41,15173.55606778,2025-01-05 19:00:00-05:00,1551942362.2144585
1736208000,96105.11,102735.99,102279.41,96941.98,16587.2869223,2025-01-06 19:00:00-05:00,1608004437.0758681
1736294400,92500.0,97254.35,96941.98,95036.63,14182.29739458,2025-01-07 19:00:00-05:00,1347837750.0386636
1736380800,91187.0,95363.26,95033.18,92547.44,9712.37853215,2025-01-08 19:00:00-05:00,898855769.4614402
1736467200,92209.25,95862.92,92547.44,94701.18,12634.03407823,2025-01-09 19:00:00-05:00,1196457935.3685932
1736553600,93804.05,94983.65,94701.48,94565.02,2638.69956767,2025-01-10 19:00:00-05:00,249528677.3907049
1736640000,93670.3,95383.84,94569.91,94509.62,2025.81612971,2025-01-11 19:00:00-05:00,191459112.6087628
1736726400,89028.64,95900.0,94507.24,94506.45,13094.86359481,2025-01-12 19:00:00-05:00,1237549071.5797315
1736812800,94311.36,97353.29,94507.35,96534.96,11210.74226727,2025-01-13 19:00:00-05:00,1082228556.3412187
1736899200,96400.0,100716.45,96534.97,100510.23,13610.74729401,2025-01-14 19:00:00-05:00,1368019340.9928226
1736985600,97277.58,100880.0,100504.27,99981.78,12312.37366854,2025-01-15 19:00:00-05:00,1231013035.405759
1737072000,99937.81,105970.0,99981.46,104107.0,20518.30949325,2025-01-16 19:00:00-05:00,2136099646.4137776
1737158400,102233.45,104933.15,104107.0,104435.0,7835.29991824,2025-01-17 19:00:00-05:00,818279546.9613944
1737244800,99518.0,106314.44,104435.01,101211.13,13312.63685598,2025-01-18 19:00:00-05:00,1347387019.473383
1737331200,99416.27,109358.01,101217.78,102145.43,32342.18311338,2025-01-19 19:00:00-05:00,3303606201.2549386
1737417600,100051.0,107291.1,102145.42,106159.26,19411.23488978,2025-01-20 19:00:00-05:00,2060682331.5852263
1737504000,103100.0,106431.34,106159.27,103667.11,10730.018962,2025-01-21 19:00:00-05:00,1112350056.03574
1737590400,101200.01,106870.87,103659.6,103926.36,25064.86499945,2025-01-22 19:00:00-05:00,2604900183.2842407
1737676800,102751.92,107200.0,103926.36,104850.27,12921.99361413,2025-01-23 19:00:00-05:00,1354874519.3798065
1737763200,104104.0,105294.0,104866.13,104733.56,3404.85308291,2025-01-24 19:00:00-05:00,356602384.65013945
1737849600,102452.24,105478.8,104729.92,102563.0,4575.36611531,2025-01-25 19:00:00-05:00,469263274.88453954
1737936000,97715.03,103228.46,102565.28,102062.42,23647.14111877,2025-01-26 19:00:00-05:00,2413484448.6631737
1738022400,100213.8,103770.85,102063.92,101290.0,9488.53429464,2025-01-27 19:00:00-05:00,961093638.7040856
1738108800,101275.6,104829.64,101290.01,103747.25,11403.20278905,2025-01-28 19:00:00-05:00,1183050930.5562675
1738195200,103289.74,106484.77,103747.25,104742.64,13061.34881233,2025-01-29 19:00:00-05:00,1368080156.5643086
1738281600,101506.0,106090.0,104742.63,102411.26,13313.68104489,2025-01-30 19:00:00-05:00,1363470851.0453014
1738368000,100250.0,102781.65,102414.05,100623.85,3390.25555744,2025-01-31 19:00:00-05:00,341140566.67350894
1738454400,96179.0,101459.84,100623.88,97676.52,10366.65062753,2025-02-01 19:00:00-05:00,1012578357.3529466
1738540800,91178.01,102599.85,97676.53,101460.2,31328.72219576,2025-02-02 19:00:00-05:00,3178618419.7262487
1738627200,96145.76,101812.23,101460.15,97795.05,14168.7031661,2025-02-03 19:00:00-05:00,1385629034.5639079
1738713600,96161.01,99230.49,97795.06,96638.33,9308.59185883,2025-02-04 19:00:00-05:00,899566771.8889269
1738800000,95674.96,99182.15,96635.62,96564.62,9168.94674634,2025-02-05 19:00:00-05:00,885395858.3605584
1738886400,95614.96,100235.79,96575.24,96537.08,12171.82534167,2025-02-06 19:00:00-05:00,1175032476.7548242
1738972800,95682.33,96919.05,96536.93,96476.25,2972.45715184,2025-02-07 19:00:00-05:00,286771519.2952038
1739059200,94730.67,97342.28,96476.24,96475.82,3417.87009701,2025-02-08 19:00:00-05:00,329741820.2625193
1739145600,95257.2,98367.23,96481.47,97444.41,6375.72539123,2025-02-09 19:00:00-05:00,621278799.0704266
1739232000,94831.07,98500.0,97451.66,95774.08,7737.05105717,2025-02-10 19:00:00-05:00,741008946.9134841
1739318400,94066.92,98119.98,95770.95,97862.53,9078.50356189,2025-02-11 19:00:00-05:00,888445327.180567
1739404800,95220.0,98100.0,97864.28,96625.29,6803.6078927,2025-02-12 19:00:00-05:00,657400585.6784264
1739491200,96268.56,98890.11,96625.29,97509.03,7744.67640105,2025-02-13 19:00:00-05:00,755175883.5302765
1739577600,97225.01,97997.85,97507.94,97596.94,1626.51929078,2025-02-14 19:00:00-05:00,158743305.6310982
1739664000,96057.68,97738.22,97596.54,96119.88,2174.29326885,2025-02-15 19:00:00-05:00,208992808.08666974
1739750400,95200.0,97050.64,96119.88,95781.8,3533.01273263,2025-02-16 19:00:00-05:00,338398318.9542201
1739836800,93333.0,96730.0,95781.8,95607.4,8867.39878431,2025-02-17 19:00:00-05:00,847788942.5310398
1739923200,95000.01,96880.0,95612.97,96632.03,6945.44897339,2025-02-18 19:00:00-05:00,671152833.5600916
1740009600,96419.07,98768.54,96632.03,98347.2,10582.84622768,2025-02-19 19:00:00-05:00,1040793294.5228904
1740096000,94721.92,99517.52,98347.2,96157.03,19298.23921958,2025-02-20 19:00:00-05:00,1855661367.5843306
1740182400,95767.95,96982.52,96157.03,96582.12,7324.02366243,2025-02-21 19:00:00-05:00,707369732.2476537
1740268800,95243.91,96679.93,96578.49,96265.98,3787.84705335,2025-02-22 19:00:00-05:00,364640808.68085
1740355200,91300.0,96515.41,96266.23,91510.82,12644.0435007,2025-02-23 19:00:00-05:00,1157066788.8647277
1740441600,85836.18,92549.99,91509.88,88583.74,31587.91715546,2025-02-24 19:00:00-05:00,2798175840.4408083
1740528000,82111.12,89305.68,88583.17,84111.78,21568.55463119,2025-02-25 19:00:00-05:00,1814169522.0566344
1740614400,82554.11,86993.87,84111.77,84625.19,16836.55524727,2025-02-26 19:00:00-05:00,1424796686.7457209
1740700800,78167.81,85116.19,84627.5,84297.73,30755.74245077,2025-02-27 19:00:00-05:00,2592639273.0645475
