date,num_pumps,max_pct_change,avg_pct_change,total_volume
2021-09-09,4,4.360257326661901,1.4814635635090314,1296858640138.0
2021-09-16,4,0.48888888888888893,0.2569882919659685,21106244280351.0
2021-10-04,3,0.23385300668151449,0.2057604069090022,9969812500484.0
2021-10-05,3,0.35648399348887677,0.24745013512875122,21892336086446.0
2021-10-06,2,0.20152921900600768,0.18382516596781567,9351387606987.0
2021-10-07,1,0.1852110219741891,0.1852110219741891,6140292734640.0
2021-10-08,2,0.1783567134268537,0.17482755944691197,8839678561012.0
2021-10-17,1,0.16982654296087124,0.16982654296087124,2358379433348.0
2021-10-23,1,0.15859184384803063,0.15859184384803063,3013345013587.0
2021-10-27,3,0.2291403730192118,0.19596563247846424,11511942763248.0
2021-10-28,2,0.17725809184883914,0.1644332632554955,3623446473019.0
2021-10-29,1,0.15968992248062028,0.15968992248062028,1847196424032.0
2021-11-05,1,0.1562500000000001,0.1562500000000001,3270629210570.0
2021-11-30,1,0.2249443207126949,0.2249443207126949,2002989527531.0
2022-02-06,1,0.17383820998278823,0.17383820998278823,621027104066.0
2022-02-07,1,0.1672597864768683,0.1672597864768683,1309337261770.0
2022-04-12,1,0.17600940807526458,0.17600940807526458,2886562116050.0
2022-05-12,1,0.154066985645933,0.154066985645933,900851934523.0
2022-05-13,1,0.1655813953488372,0.1655813953488372,969553659859.0
2022-10-29,1,0.16239999999999993,0.16239999999999993,1173448336923.0
2024-03-01,1,0.20453153704837712,0.20453153704837712,2637074404323.0
2024-03-04,3,0.19100483916880165,0.17167720780299067,7572508373997.0
2024-03-05,2,0.9374393792434531,0.5937634112026989,6565208009904.0
2025-10-10,1,0.1535353535353536,0.1535353535353536,269205299792.0
