start_time,end_time,start_close,trough_low,pct_change,total_volume,baseline_volume
2021-09-09 18:10:00+00:00,2021-09-09 19:05:00+00:00,7.713e-05,5e-05,-0.3517438091533774,299234784099.0,3118711507.0
2021-09-09 19:15:00+00:00,2021-09-09 20:10:00+00:00,6.011e-05,3.999e-05,-0.33471968058559304,184603451170.0,3118711507.0
2021-09-09 20:15:00+00:00,2021-09-09 21:10:00+00:00,4.996e-05,3.8e-05,-0.23939151321056845,133791279923.0,25097628187.5
2021-09-10 00:45:00+00:00,2021-09-10 01:40:00+00:00,5.48e-05,4.631e-05,-0.15492700729926998,76648645270.0,12387014168.5
2021-09-10 16:05:00+00:00,2021-09-10 17:00:00+00:00,5.592e-05,7.12e-06,-0.8726752503576538,211390365020.0,3517991663.5
2021-10-04 20:05:00+00:00,2021-10-04 21:00:00+00:00,1.494e-05,1.259e-05,-0.1572958500669344,8387054017452.0,39106279808.5
2021-10-05 19:50:00+00:00,2021-10-05 20:45:00+00:00,1.866e-05,1.58e-05,-0.15326902465166128,3619152461333.0,220442995402.5
2021-10-07 01:15:00+00:00,2021-10-07 02:10:00+00:00,3.459e-05,2.727e-05,-0.21162185602775363,8015590917120.0,216756989540.0
2021-10-07 03:10:00+00:00,2021-10-07 04:05:00+00:00,3.219e-05,2.655e-05,-0.17520969245107176,5133611247352.0,235486804163.0
2021-10-07 13:25:00+00:00,2021-10-07 14:20:00+00:00,3.437e-05,2.256e-05,-0.3436136165260401,4561159155727.0,229629346755.5
2021-10-07 14:25:00+00:00,2021-10-07 15:20:00+00:00,2.999e-05,2.281e-05,-0.23941313771257083,6171566981508.0,228194452831.0
2021-10-07 15:25:00+00:00,2021-10-07 16:20:00+00:00,2.984e-05,2.52e-05,-0.1554959785522788,5576517035029.0,238069743046.5
2021-10-07 16:50:00+00:00,2021-10-07 17:45:00+00:00,2.644e-05,2.11e-05,-0.2019667170953101,6517431410744.0,251707384432.5
2021-10-24 17:15:00+00:00,2021-10-24 18:10:00+00:00,4.078e-05,3.201e-05,-0.21505640019617459,4970034419595.0,127179580266.5
2021-10-27 07:10:00+00:00,2021-10-27 08:05:00+00:00,5.887e-05,4.71e-05,-0.19993205367759467,4004277542120.0,115488239578.5
2021-10-27 19:20:00+00:00,2021-10-27 20:15:00+00:00,8.475e-05,6.46e-05,-0.2377581120943953,1620684851466.0,178405137536.5
2021-10-27 21:20:00+00:00,2021-10-27 22:15:00+00:00,8.16e-05,6.68e-05,-0.18137254901960792,2797322531841.0,176131610243.5
2021-10-28 03:30:00+00:00,2021-10-28 04:25:00+00:00,8.772e-05,7.119e-05,-0.18844049247606012,4354878897735.0,206083502236.5
2021-10-28 04:40:00+00:00,2021-10-28 05:35:00+00:00,7.833e-05,6.6e-05,-0.15741095365760244,3171361836996.0,204861962122.0
2021-10-28 05:40:00+00:00,2021-10-28 06:35:00+00:00,6.948e-05,5.659e-05,-0.18552101324122058,5135050132751.0,208001821455.0
2021-10-28 07:00:00+00:00,2021-10-28 07:55:00+00:00,7.4e-05,6.15e-05,-0.16891891891891883,795122728857.0,209844836062.5
2021-10-28 20:10:00+00:00,2021-10-28 21:05:00+00:00,6.633e-05,5.52e-05,-0.1677973767526006,3498509903877.0,157676270752.0
2021-11-03 20:25:00+00:00,2021-11-03 21:20:00+00:00,6.23e-05,4.87e-05,-0.21829855537720705,2288025210096.0,48552516667.0
2021-11-03 21:25:00+00:00,2021-11-03 22:20:00+00:00,5.82e-05,4.9e-05,-0.15807560137457044,3687110076926.0,48708782279.5
2021-11-04 14:20:00+00:00,2021-11-04 15:15:00+00:00,4.9e-05,4.13e-05,-0.15714285714285708,3468842044521.0,66032233248.0
2021-12-04 04:30:00+00:00,2021-12-04 05:25:00+00:00,3.91e-05,3.21e-05,-0.17902813299232737,912190653456.0,16737082358.5
2022-05-11 11:55:00+00:00,2022-05-11 12:50:00+00:00,1.435e-05,1.131e-05,-0.21184668989547037,1046006164913.0,26939590006.5
2022-05-12 06:25:00+00:00,2022-05-12 07:20:00+00:00,1.016e-05,8.56e-06,-0.15748031496062992,1226546484547.0,49681070257.0
2023-06-10 03:30:00+00:00,2023-06-10 04:25:00+00:00,7.31e-06,6.05e-06,-0.17236662106703154,406983684955.0,1813716817.5
2023-08-17 20:45:00+00:00,2023-08-17 21:40:00+00:00,8.58e-06,7.26e-06,-0.15384615384615377,379430994274.0,8849844703.5
2024-01-03 11:15:00+00:00,2024-01-03 12:10:00+00:00,1.053e-05,8.53e-06,-0.1899335232668567,664070714567.0,2232071793.0
2024-02-28 16:45:00+00:00,2024-02-28 17:40:00+00:00,1.195e-05,1e-05,-0.1631799163179916,2702391817305.0,16220622935.0
2024-03-04 17:30:00+00:00,2024-03-04 18:25:00+00:00,3.424e-05,2.864e-05,-0.1635514018691588,3055620107158.0,60422815726.0
2024-03-05 03:45:00+00:00,2024-03-05 04:40:00+00:00,4.446e-05,3.771e-05,-0.15182186234817802,2447378221648.0,108879978112.0
2024-03-05 14:40:00+00:00,2024-03-05 15:35:00+00:00,4.202e-05,3.5e-05,-0.16706330318895773,2342081321433.0,122108230759.0
2024-03-05 15:40:00+00:00,2024-03-05 16:35:00+00:00,3.562e-05,2.5e-05,-0.29814710836608643,4742446826782.0,122572964129.0
2024-03-05 16:40:00+00:00,2024-03-05 17:35:00+00:00,3.354e-05,2.783e-05,-0.1702444841979726,3317367054016.0,122705389385.0
2024-03-05 18:55:00+00:00,2024-03-05 19:50:00+00:00,3.181e-05,2.684e-05,-0.15624017604526882,2187946726768.0,122572964129.0
2024-04-12 17:40:00+00:00,2024-04-12 18:35:00+00:00,2.571e-05,2.126e-05,-0.1730844029560482,1126251537879.0,3115328484.5
2024-04-13 19:10:00+00:00,2024-04-13 20:05:00+00:00,2.334e-05,1.878e-05,-0.19537275064267354,1540927231661.0,10960118020.0
2024-12-09 20:10:00+00:00,2024-12-09 21:05:00+00:00,2.92e-05,2.423e-05,-0.17020547945205483,758149390438.0,6271530834.5
2024-12-09 21:25:00+00:00,2024-12-09 22:20:00+00:00,2.925e-05,2.465e-05,-0.15726495726495726,564017121258.0,6750648714.0
2025-02-03 01:00:00+00:00,2025-02-03 01:55:00+00:00,1.478e-05,1.24e-05,-0.16102841677943172,1106869152300.0,4117513197.5
2025-10-10 20:20:00+00:00,2025-10-10 21:15:00+00:00,1.141e-05,8.89e-06,-0.22085889570552145,471022731371.0,502259462.5
