date,num_dumps,min_pct_change,avg_pct_change,total_volume
2021-09-09,3,-0.3517438091533774,-0.308618334316513,617629515192.0
2021-09-10,2,-0.8726752503576538,-0.5138011288284619,288039010290.0
2021-10-04,1,-0.1572958500669344,-0.1572958500669344,8387054017452.0
2021-10-05,1,-0.15326902465166128,-0.15326902465166128,3619152461333.0
2021-10-07,6,-0.3436136165260401,-0.22122016639417086,35975876747480.0
2021-10-24,1,-0.21505640019617459,-0.21505640019617459,4970034419595.0
2021-10-27,3,-0.2377581120943953,-0.20635423826386598,8422284925427.0
2021-10-28,5,-0.18844049247606012,-0.1736177510092805,16954923500216.0
2021-11-03,2,-0.21829855537720705,-0.18818707837588874,5975135287022.0
2021-11-04,1,-0.15714285714285708,-0.15714285714285708,3468842044521.0
2021-12-04,1,-0.17902813299232737,-0.17902813299232737,912190653456.0
2022-05-11,1,-0.21184668989547037,-0.21184668989547037,1046006164913.0
2022-05-12,1,-0.15748031496062992,-0.15748031496062992,1226546484547.0
2023-06-10,1,-0.17236662106703154,-0.17236662106703154,406983684955.0
2023-08-17,1,-0.15384615384615377,-0.15384615384615377,379430994274.0
2024-01-03,1,-0.1899335232668567,-0.1899335232668567,664070714567.0
2024-02-28,1,-0.1631799163179916,-0.1631799163179916,2702391817305.0
2024-03-04,1,-0.1635514018691588,-0.1635514018691588,3055620107158.0
2024-03-05,5,-0.29814710836608643,-0.18870338682929272,15037220150647.0
2024-04-12,1,-0.1730844029560482,-0.1730844029560482,1126251537879.0
2024-04-13,1,-0.19537275064267354,-0.19537275064267354,1540927231661.0
2024-12-09,2,-0.17020547945205483,-0.16373521835850605,1322166511696.0
2025-02-03,1,-0.16102841677943172,-0.16102841677943172,1106869152300.0
2025-10-10,1,-0.22085889570552145,-0.22085889570552145,471022731371.0
