day,first_time,last_time,count,max_ret,max_volchg
2024-11-15,2024-11-15 13:05:00+00:00,2024-11-15 13:05:00+00:00,1,0.02361111111111112,13.854130030166443
2024-11-16,2024-11-16 01:30:00+00:00,2024-11-16 01:30:00+00:00,1,0.025784271594327505,8.538059443690928
2024-11-18,2024-11-18 08:05:00+00:00,2024-11-18 08:05:00+00:00,1,0.03514526710403005,16.43131292446911
2024-12-04,2024-12-04 18:00:00+00:00,2024-12-04 18:00:00+00:00,1,0.02750965250965249,9.152973145505976
2024-12-13,2024-12-13 13:45:00+00:00,2024-12-13 13:45:00+00:00,1,0.0120732722731057,8.639682837217888
2024-12-15,2024-12-15 23:20:00+00:00,2024-12-15 23:20:00+00:00,1,0.011894647408665986,15.874214299475426
2024-12-19,2024-12-19 16:55:00+00:00,2024-12-19 16:55:00+00:00,1,0.01257202723939241,36.11669837983942
2024-12-21,2024-12-21 01:45:00+00:00,2024-12-21 01:45:00+00:00,1,0.012527233115468382,8.507377917323131
2024-12-22,2024-12-22 08:00:00+00:00,2024-12-22 08:00:00+00:00,1,0.01733102253032932,13.586440870043853
2024-12-27,2024-12-27 09:00:00+00:00,2024-12-27 09:00:00+00:00,1,0.015855039637599135,13.190284684411772
2024-12-30,2024-12-30 08:00:00+00:00,2024-12-30 08:00:00+00:00,1,0.022764227642276386,97.01720670696315
2024-12-31,2024-12-31 06:05:00+00:00,2024-12-31 06:05:00+00:00,1,0.03370786516853939,16.941886326504573
2025-01-01,2025-01-01 18:30:00+00:00,2025-01-01 18:30:00+00:00,1,0.015503875968992276,71.2423981246276
2025-01-02,2025-01-02 08:45:00+00:00,2025-01-02 08:45:00+00:00,1,0.013759213759213794,8.293553710725725
2025-01-15,2025-01-15 13:30:00+00:00,2025-01-15 13:30:00+00:00,1,0.029616724738675968,15.919320877483546
2025-01-23,2025-01-23 14:30:00+00:00,2025-01-23 14:30:00+00:00,1,0.019436997319034893,13.37249707447834
2025-02-04,2025-02-04 14:30:00+00:00,2025-02-04 15:45:00+00:00,2,0.022286821705426473,11.15511761378852
2025-02-08,2025-02-08 13:25:00+00:00,2025-02-08 13:25:00+00:00,1,0.010764262648008508,10.549582595004322
2025-02-10,2025-02-10 03:30:00+00:00,2025-02-10 03:30:00+00:00,1,0.028815368196371302,8.997525479798957
2025-02-17,2025-02-17 14:10:00+00:00,2025-02-17 14:10:00+00:00,1,0.011881188118811935,21.202052351158887
2025-02-21,2025-02-21 09:15:00+00:00,2025-02-21 09:15:00+00:00,1,0.018237082066869297,11.287719709000696
