day,first_time,last_time,count,min_ret,max_volchg
2024-11-18,2024-11-18 11:00:00+00:00,2024-11-18 11:00:00+00:00,1,-0.012070566388115177,9.122268112958546
2024-11-22,2024-11-22 18:50:00+00:00,2024-11-22 22:05:00+00:00,2,-0.010918114143920491,42.955415391945564
2024-11-25,2024-11-25 11:40:00+00:00,2024-11-25 11:40:00+00:00,1,-0.011291114383897865,16.465227678406542
2024-12-05,2024-12-05 22:25:00+00:00,2024-12-05 22:25:00+00:00,1,-0.020803782505910126,9.579162114077374
2024-12-25,2024-12-25 11:40:00+00:00,2024-12-25 17:05:00+00:00,2,-0.013564839934888913,15.275560024320558
2025-01-01,2025-01-01 09:10:00+00:00,2025-01-01 09:10:00+00:00,1,-0.014242115971515803,9.519152903739412
2025-01-07,2025-01-07 14:55:00+00:00,2025-01-07 14:55:00+00:00,1,-0.014342235410484615,8.984297815098664
2025-01-09,2025-01-09 02:05:00+00:00,2025-01-09 02:05:00+00:00,1,-0.013363028953229458,28.600254312183907
2025-01-20,2025-01-20 23:45:00+00:00,2025-01-20 23:45:00+00:00,1,-0.012539184952978148,34.608066722617245
2025-01-21,2025-01-21 02:20:00+00:00,2025-01-21 04:30:00+00:00,2,-0.0178571428571428,27.175458670209316
2025-01-27,2025-01-27 02:00:00+00:00,2025-01-27 02:00:00+00:00,1,-0.012743628185907052,8.47873147437296
2025-02-07,2025-02-07 20:45:00+00:00,2025-02-07 20:45:00+00:00,1,-0.01664816870144287,10.563165937073467
2025-02-12,2025-02-12 13:30:00+00:00,2025-02-12 14:25:00+00:00,2,-0.0336391437308867,23.603964124865207
2025-02-17,2025-02-17 05:00:00+00:00,2025-02-17 05:00:00+00:00,1,-0.013429752066115748,11.552181860439132
2025-02-19,2025-02-19 14:40:00+00:00,2025-02-19 14:40:00+00:00,1,-0.010638297872340325,9.084676878593957
2025-02-21,2025-02-21 14:30:00+00:00,2025-02-21 14:30:00+00:00,1,-0.010923535253227472,17.94433556394593
2025-02-24,2025-02-24 22:00:00+00:00,2025-02-24 22:00:00+00:00,1,-0.033452807646355914,32.36496222842415
2025-02-25,2025-02-25 00:10:00+00:00,2025-02-25 00:10:00+00:00,1,-0.010309278350515583,20.78776508048779
2025-02-28,2025-02-28 02:30:00+00:00,2025-02-28 02:30:00+00:00,1,-0.01423027166882285,14.9318879444
2025-03-04,2025-03-04 01:35:00+00:00,2025-03-04 01:35:00+00:00,1,-0.014388489208633198,8.511111239858298
2025-03-11,2025-03-11 14:00:00+00:00,2025-03-11 14:00:00+00:00,1,-0.0152027027027027,9.420010183545179
2025-03-19,2025-03-19 17:30:00+00:00,2025-03-19 20:35:00+00:00,2,-0.01092896174863389,15.8105543818434
2025-04-02,2025-04-02 22:10:00+00:00,2025-04-02 22:10:00+00:00,1,-0.015130674002751003,9.970073139875607
2025-04-03,2025-04-03 00:10:00+00:00,2025-04-03 00:10:00+00:00,1,-0.012658227848101264,8.365232432810837
2025-04-04,2025-04-04 01:55:00+00:00,2025-04-04 01:55:00+00:00,1,-0.01043219076005964,30.674470578588107
