day,first_time,last_time,count,min_ret,max_volchg
2022-07-05,2022-07-05 02:55:00+00:00,2022-07-05 02:55:00+00:00,1,-0.01667129758266189,19.55608514908257
2022-07-20,2022-07-20 20:05:00+00:00,2022-07-20 20:05:00+00:00,1,-0.02483900643974237,8.895898723894794
2022-07-23,2022-07-23 08:45:00+00:00,2022-07-23 08:45:00+00:00,1,-0.012065637065637066,12.374038831071006
2022-07-29,2022-07-29 16:00:00+00:00,2022-07-29 16:00:00+00:00,1,-0.010780407780642157,10.5491417377929
2022-08-04,2022-08-04 06:15:00+00:00,2022-08-04 06:15:00+00:00,1,-0.011409736308316322,12.607304084323294
2022-08-26,2022-08-26 11:05:00+00:00,2022-08-26 11:05:00+00:00,1,-0.011020881670533512,21.785442441882303
2022-09-02,2022-09-02 17:20:00+00:00,2022-09-02 17:20:00+00:00,1,-0.012905256531318859,11.16680256860336
2022-09-06,2022-09-06 17:05:00+00:00,2022-09-06 17:05:00+00:00,1,-0.01380966676673674,8.549683538655485
2022-09-15,2022-09-15 03:00:00+00:00,2022-09-15 03:00:00+00:00,1,-0.014034040011943829,14.552313127175916
2022-09-18,2022-09-18 09:45:00+00:00,2022-09-18 09:45:00+00:00,1,-0.011641791044776136,10.210672016742992
2022-09-19,2022-09-19 02:15:00+00:00,2022-09-19 02:15:00+00:00,1,-0.01849489795918362,12.404727427137718
2022-09-20,2022-09-20 03:15:00+00:00,2022-09-20 03:15:00+00:00,1,-0.011100832562442165,12.014295800085378
2022-09-21,2022-09-21 18:00:00+00:00,2022-09-21 18:00:00+00:00,1,-0.03035935563816606,9.261525866802177
2022-09-30,2022-09-30 20:40:00+00:00,2022-09-30 20:40:00+00:00,1,-0.011021745606195931,13.985740193999476
2022-10-21,2022-10-21 12:10:00+00:00,2022-10-21 12:10:00+00:00,1,-0.011301494713816942,29.36688461229325
2022-11-07,2022-11-07 22:15:00+00:00,2022-11-07 22:15:00+00:00,1,-0.02629016553067182,11.644226059893004
2022-11-17,2022-11-17 12:05:00+00:00,2022-11-17 12:05:00+00:00,1,-0.016231474947071306,20.869593550691505
2022-11-27,2022-11-27 23:00:00+00:00,2022-11-27 23:00:00+00:00,1,-0.011813759555246694,11.564667590937413
2022-12-09,2022-12-09 13:30:00+00:00,2022-12-09 13:30:00+00:00,1,-0.010108303249097386,11.78405916330948
2022-12-12,2022-12-12 02:50:00+00:00,2022-12-12 02:50:00+00:00,1,-0.032330827067669286,25.552016538877066
2022-12-19,2022-12-19 22:30:00+00:00,2022-12-19 22:30:00+00:00,1,-0.01673640167364011,9.700731826257709
2022-12-24,2022-12-24 05:20:00+00:00,2022-12-24 05:20:00+00:00,1,-0.029035012809564612,94.16257236619175
2022-12-28,2022-12-28 05:10:00+00:00,2022-12-28 05:10:00+00:00,1,-0.015037593984962419,9.925430824008812
2023-01-27,2023-01-27 01:35:00+00:00,2023-01-27 01:35:00+00:00,1,-0.015859766277128654,29.12119199607547
2023-01-29,2023-01-29 02:50:00+00:00,2023-01-29 02:50:00+00:00,1,-0.01034340091021928,9.853941096155996
2023-01-30,2023-01-30 09:00:00+00:00,2023-01-30 09:00:00+00:00,1,-0.0155069582504969,13.649139618859211
2023-02-13,2023-02-13 01:50:00+00:00,2023-02-13 01:50:00+00:00,1,-0.016060462919225478,42.164463236499195
2023-03-03,2023-03-03 01:15:00+00:00,2023-03-03 01:15:00+00:00,1,-0.012379642365887188,11.037037952054
2023-03-24,2023-03-24 08:05:00+00:00,2023-03-24 11:45:00+00:00,2,-0.01702715140358955,17.5600136801404
2023-03-27,2023-03-27 14:55:00+00:00,2023-03-27 14:55:00+00:00,1,-0.013868251609707831,9.367729697632331
2023-04-19,2023-04-19 08:10:00+00:00,2023-04-19 08:10:00+00:00,1,-0.02400662251655637,11.658514434784337
2023-04-27,2023-04-27 06:50:00+00:00,2023-04-27 06:50:00+00:00,1,-0.010087116001833969,34.93805194203582
2023-05-01,2023-05-01 01:35:00+00:00,2023-05-01 01:35:00+00:00,1,-0.0193236714975846,141.57292461518222
2023-05-05,2023-05-05 12:30:00+00:00,2023-05-05 12:30:00+00:00,1,-0.010919017288444131,9.69183901219855
2023-05-08,2023-05-08 01:40:00+00:00,2023-05-08 17:55:00+00:00,2,-0.036917397323488726,54.389546906452644
2023-05-10,2023-05-10 21:20:00+00:00,2023-05-10 21:20:00+00:00,1,-0.01275992438563325,42.17174826525848
2023-05-21,2023-05-21 15:40:00+00:00,2023-05-21 20:55:00+00:00,2,-0.012425447316103379,66.4955574689314
