day,first_time,last_time,count,min_ret,max_volchg
2025-02-12,2025-02-12 13:30:00+00:00,2025-02-12 13:30:00+00:00,1,-0.0336391437308867,23.603964124865207
2025-02-24,2025-02-24 22:00:00+00:00,2025-02-24 22:00:00+00:00,1,-0.033452807646355914,32.36496222842415
2025-06-05,2025-06-05 19:15:00+00:00,2025-06-05 19:15:00+00:00,1,-0.04782993799822851,62.38586686763663
2025-06-12,2025-06-12 15:45:00+00:00,2025-06-12 15:45:00+00:00,1,-0.029292107404393815,57.893531433733614
2025-08-14,2025-08-14 12:30:00+00:00,2025-08-14 12:30:00+00:00,1,-0.057432432432432456,204.93437039289395
2025-10-10,2025-10-10 17:35:00+00:00,2025-10-10 17:35:00+00:00,1,-0.0261958997722097,26.044609360106143
2025-11-21,2025-11-21 07:30:00+00:00,2025-11-21 07:30:00+00:00,1,-0.061085972850678724,25.238204807587355
